"Quote_Id","Quote_Date","Quote_Flag","Field_info1","Field_info2","Field_info3","Field_info4","Coverage_info1","Coverage_info2","Coverage_info3","Sales_info1","Sales_info2","Sales_info3","Sales_info4","Sales_info5","Personal_info1","Personal_info2","Personal_info3","Personal_info4","Personal_info5","Property_info1","Property_info2","Property_info3","Property_info4","Property_info5","Geographic_info1","Geographic_info2","Geographic_info3","Geographic_info4","Geographic_info5"
657,"25/10/14",0,"F",1.0006,"548","N",10,25,"E",1,5,11,"R",12350,"N",-1,"XJ",0,,"N",0,"D",1,23,4,22,-1,"N","NJ"
691,"24/3/14",0,"F",0.9566,"548","N",6,22,"E",1,5,11,"K",19580,"N",6,"ZH",0,,"Y",0,"R",1,8,4,16,-1,"N","NJ"
763,"8/1/15",0,"C",0.9108,"1,487","Y",15,22,"F",1,5,11,"Q",51386,"N",24,"ZG",0,,"N",0,"R",1,17,10,23,-1,"N","IL"
771,"27/6/14",0,"B",0.9153,"935","N",4,22,"J",0,4,11,"V",17285,"N",-1,"ZA",0,2,"N",0,"D",1,3,2,12,-1,"N","CA"
807,"6/1/14",0,"B",0.9403,"935","N",3,22,"D",1,5,7,"K",3878,"N",-1,"ZA",0,2,"N",0,"A",0,6,2,13,-1,"N","CA"
843,"1/2/14",0,"F",0.9685,"548","N",10,25,"E",1,3,20,"R",65219,"N",4,"XR",0,,"N",0,"D",1,20,4,19,-1,"N","NJ"
846,"26/3/13",0,"F",0.8945,"564","N",4,22,"J",1,3,15,"P",39766,"N",6,"YE",0,,"N",0,"D",0,8,4,22,-1,"N","NJ"
864,"5/3/14",0,"J",0.8922,"1,113","N",16,22,"G",1,5,11,"T",22933,"N",1,"ZA",0,2,"N",0,"J",0,14,14,6,-1,"N","TX"
872,"11/3/15",0,"K",0.887,"1,113","Y",4,22,"K",0,5,11,"T",6788,"N",15,"XW",0,,"Y",0,"D",1,6,14,6,-1,"N","TX"
880,"25/9/14",0,"B",0.9153,"935","N",1,22,"D",0,5,11,"Q",37681,"N",6,"ZA",0,2,"N",0,"O",0,5,2,4,25,"N","CA"
902,"2/8/14",1,"J",0.8928,"1,113","N",15,25,"G",1,5,22,"R",14108,"N",5,"XX",0,,"N",0,"J",1,22,24,14,-1,"N","TX"
903,"22/12/14",0,"K",0.887,"1,113","Y",8,22,"F",1,5,11,"K",55616,"N",17,"XR",0,,"N",0,"J",1,9,24,12,-1,"N","TX"
906,"25/1/15",0,"F",1.0005,"548","N",5,22,"E",1,5,11,"M",39128,"N",23,"XD",0,,"N",0,"R",1,11,4,16,-1,"N","NJ"
919,"10/6/14",0,"F",1.0006,"548","N",9,22,"J",1,3,20,"P",35674,"N",-1,"YH",0,,"N",0,"J",1,9,4,18,-1,"N","NJ"
949,"25/7/13",0,"B",0.9403,"965","N",17,22,"E",1,3,21,"Q",7315,"N",5,"ZA",0,2,"N",0,"O",1,24,2,4,-1,"N","CA"
961,"18/1/13",0,"J",0.9559,"1,165","N",7,22,"G",1,5,23,"V",65404,"N",12,"ZA",0,2,"N",0,"J",0,8,19,4,-1,"N","TX"
1007,"26/8/14",0,"J",0.8928,"1,113","N",25,22,"G",0,5,11,"P",2339,"N",6,"ZA",0,2,"N",0,"S",0,18,14,5,-1,"N","TX"
1083,"18/5/15",0,"K",0.887,"1,113","Y",10,22,"G",1,2,3,"K",51772,"N",-1,"XS",0,,"N",0,"J",1,12,13,8,-1,"N","TX"
1161,"11/1/13",0,"B",0.9219,"965","N",8,22,"E",0,3,14,"V",21401,"N",7,"ZA",0,2,"N",0,"O",1,21,2,4,-1,"N","CA"
1233,"20/5/13",1,"F",0.9313,"564","N",8,22,"E",1,3,15,"P",63347,"N",6,"XR",0,,"N",0,"R",1,19,4,19,-1,"Y","NJ"
1256,"23/4/15",0,"B",0.9153,"935","N",3,25,"J",0,3,20,"Q",56362,"N",10,"ZA",0,2,"N",0,"O",1,13,2,7,-1,"N","CA"
1273,"12/8/13",0,"B",0.9403,"965","N",7,22,"D",1,5,4,"K",56721,"N",11,"ZA",0,2,"N",0,"O",0,13,1,15,-1,"N","CA"
1367,"8/8/13",1,"B",0.9403,"965","N",3,22,"D",1,5,21,"Q",20258,"N",1,"ZA",0,2,"N",0,"O",0,8,2,4,-1,"N","CA"
1461,"20/11/14",0,"B",0.9153,"935","N",4,22,"D",1,5,11,"Q",23294,"N",24,"ZA",0,2,"N",0,"D",1,8,2,13,-1,"N","CA"
1485,"10/8/14",1,"F",1.0006,"548","N",4,22,"E",1,5,11,"M",7712,"N",13,"YH",0,2,"Y",0,"R",0,3,4,17,-1,"N","NJ"
1512,"20/4/13",0,"F",0.9313,"564","N",7,22,"E",1,5,23,"K",27889,"N",12,"XR",0,,"N",0,"R",1,19,4,22,-1,"N","NJ"
1536,"20/4/15",0,"K",0.887,"1,113","Y",12,22,"F",1,5,11,"K",5555,"N",18,"XW",0,,"N",0,"S",1,9,24,15,-1,"N","TX"
1547,"5/4/14",0,"E",0.9392,"1,487","N",5,22,"K",1,5,11,"R",20856,"N",12,"ZA",0,2,"N",0,"R",0,2,9,25,-1,"N","IL"
1570,"6/8/13",1,"F",0.9919,"564","N",13,22,"E",1,3,21,"P",54170,"N",21,"ZH",0,,"N",0,"R",0,20,4,22,-1,"N","NJ"
1571,"7/2/14",0,"F",0.9685,"548","N",11,25,"E",1,5,11,"P",61037,"N",15,"XH",0,,"N",0,"R",1,15,4,17,-1,"N","NJ"
1639,"30/3/15",0,"K",0.887,"1,113","Y",6,22,"G",1,5,11,"K",54906,"N",11,"XO",0,,"N",0,"Q",1,2,25,11,-1,"N","TX"
1658,"12/3/14",1,"F",0.9566,"548","N",2,22,"E",1,4,11,"T",41110,"N",7,"XQ",0,2,"Y",0,"O",1,6,4,17,-1,"N","NJ"
1663,"8/10/14",0,"J",0.8793,"1,113","N",12,22,"G",1,5,11,"T",61706,"N",9,"XS",0,,"N",0,"J",1,16,14,4,-1,"N","TX"
1669,"6/10/14",0,"F",1.0006,"548","N",11,25,"E",1,4,11,"K",16298,"N",-1,"XR",0,,"N",0,"R",1,18,4,21,-1,"N","NJ"
1750,"9/4/15",0,"B",0.9153,"935","N",4,22,"D",1,5,11,"Q",22543,"N",-1,"ZA",0,2,"N",0,"D",0,8,2,9,25,"N","CA"
1761,"4/3/14",1,"F",0.9566,"548","N",10,25,"E",1,5,20,"T",4837,"N",1,"ZR",0,,"N",0,"S",0,22,4,21,-1,"N","NJ"
1783,"13/11/14",0,"B",0.9153,"935","N",10,22,"D",1,5,11,"Q",213,"N",-1,"ZA",0,2,"N",0,"I",1,20,2,11,-1,"N","CA"
1789,"7/2/13",0,"J",0.9559,"1,165","N",6,22,"G",1,5,23,"Q",2177,"N",12,"ZA",0,2,"N",0,"J",0,5,15,4,-1,"N","TX"
1821,"13/3/15",0,"B",0.9153,"935","N",17,22,"E",0,3,20,"V",658,"N",4,"ZA",0,2,"N",0,"O",1,22,2,4,-1,"N","CA"
1861,"17/3/14",0,"F",0.9566,"548","N",4,22,"E",1,5,11,"V",41817,"N",17,"XQ",0,,"N",0,"R",1,9,4,19,-1,"N","NJ"
1870,"7/4/15",0,"C",0.8746,"1,487","Y",4,22,"F",1,5,11,"P",3072,"N",6,"ZW",0,,"N",0,"R",1,7,11,25,-1,"N","IL"
1883,"2/1/13",0,"F",0.9223,"564","N",12,25,"E",1,3,14,"T",4292,"N",11,"ZN",0,,"Y",0,"R",1,19,4,19,-1,"N","NJ"
1888,"13/2/14",1,"B",0.9403,"935","N",5,22,"E",1,3,20,"K",53048,"N",6,"ZA",0,2,"N",0,"O",1,13,2,11,-1,"N","CA"
1934,"20/3/15",0,"F",1.0101,"548","N",6,22,"E",1,5,11,"V",32412,"N",5,"XR",0,,"N",0,"R",1,17,4,19,-1,"N","NJ"
1937,"14/5/15",0,"B",0.9153,"935","N",3,22,"E",0,4,11,"Q",36887,"N",-1,"ZA",0,2,"N",0,"D",1,15,2,9,-1,"N","CA"
1965,"21/4/14",1,"F",1.0006,"548","N",10,22,"K",1,4,11,"K",11349,"N",21,"ZT",0,,"N",0,"J",0,13,4,22,-1,"N","NJ"
1967,"12/7/13",0,"E",0.9487,"1,480","N",12,25,"A",0,4,1,"K",59009,"N",6,"YH",0,2,"N",0,"O",1,17,8,23,-1,"N","IL"
2043,"15/1/15",1,"C",0.9108,"1,487","Y",15,2,"A",1,5,11,"Q",21824,"N",5,"YF",0,,"N",0,"S",1,16,9,23,-1,"N","IL"
2067,"5/9/13",1,"F",0.9919,"564","N",9,22,"E",1,4,4,"Q",63772,"N",6,"XO",0,,"Y",0,"D",0,12,4,22,-1,"N","NJ"
2068,"5/3/15",0,"F",1.0101,"548","N",8,22,"K",1,5,11,"Q",26598,"N",-1,"XJ",0,,"N",0,"N",0,19,4,20,-1,"N","NJ"
2098,"13/10/14",0,"B",0.9153,"935","N",7,22,"D",1,5,11,"K",35702,"N",9,"ZA",0,2,"N",0,"O",0,17,2,4,-1,"N","CA"
2133,"30/4/15",1,"K",0.887,"1,113","Y",7,2,"G",1,4,11,"V",2649,"N",5,"XM",0,,"N",0,"J",1,7,12,5,-1,"N","TX"
2151,"24/4/15",0,"K",0.887,"1,113","Y",6,2,"G",0,5,11,"V",10404,"N",5,"XB",0,,"N",0,"J",1,3,14,5,-1,"N","TX"
2153,"4/8/14",0,"F",1.0006,"548","N",12,25,"B",1,4,11,"K",60664,"N",4,"YE",0,2,"N",0,"R",0,9,4,19,25,"N","NJ"
2173,"8/9/14",1,"B",0.9153,"935","N",15,25,"E",1,4,11,"K",24702,"N",1,"ZA",0,2,"N",0,"O",1,25,2,8,-1,"N","CA"
2219,"19/8/14",0,"E",0.9364,"1,487","N",11,25,"A",1,2,20,"P",29837,"N",25,"XJ",0,,"Y",0,"R",1,14,9,25,-1,"N","IL"
2239,"22/9/14",0,"J",0.8928,"1,113","N",13,22,"G",0,5,11,"K",5234,"N",-1,"ZA",0,2,"N",0,"J",0,17,14,5,-1,"N","TX"
2248,"14/11/13",0,"J",0.9258,"1,165","N",8,22,"G",1,2,3,"Q",49992,"N",-1,"XR",0,2,"N",0,"J",1,8,15,4,-1,"N","TX"
2260,"26/9/13",0,"B",0.9403,"965","N",2,22,"E",1,3,20,"Q",43989,"N",6,"ZA",0,2,"N",0,"O",1,1,2,4,-1,"N","CA"
2368,"12/9/14",0,"J",0.8928,"1,113","N",20,22,"G",1,3,11,"V",47490,"N",5,"XM",0,,"Y",0,"S",1,22,14,5,-1,"N","TX"
2373,"13/3/14",0,"F",0.9566,"548","N",7,22,"E",1,5,20,"V",34096,"N",-1,"YE",0,,"N",0,"R",1,20,4,19,-1,"N","NJ"
2396,"5/5/14",0,"E",0.9392,"1,487","N",1,22,"K",1,5,11,"K",35772,"N",-1,"ZT",0,,"N",0,"R",1,1,11,24,-1,"N","IL"
2400,"31/1/13",0,"B",0.9219,"965","N",10,22,"J",1,5,23,"Q",13413,"N",8,"ZA",0,2,"N",0,"O",0,14,2,10,-1,"N","CA"
2442,"30/4/13",0,"B",0.9403,"965","N",4,22,"D",0,5,15,"P",3057,"N",2,"ZA",0,2,"N",0,"O",0,4,2,4,-1,"N","CA"
2487,"11/10/13",0,"B",0.9403,"965","N",4,22,"E",1,3,20,"V",33254,"N",6,"ZA",0,2,"N",0,"O",0,2,2,10,-1,"N","CA"
2520,"12/10/14",1,"E",0.9108,"1,487","N",11,22,"F",1,5,11,"K",49880,"N",4,"XM",0,,"N",0,"N",1,14,9,24,-1,"N","IL"
2529,"6/4/15",0,"K",0.887,"1,113","Y",4,22,"K",1,5,11,"K",55727,"N",20,"XS",0,,"N",0,"I",1,2,25,9,-1,"N","TX"
2544,"15/5/15",0,"F",1.0101,"548","N",14,22,"J",1,3,20,"V",56074,"N",7,"XM",0,,"Y",0,"O",1,18,4,17,-1,"N","NJ"
2567,"1/9/14",0,"J",0.8928,"1,113","N",6,22,"G",1,5,11,"M",37883,"N",5,"ZA",0,2,"N",0,"J",0,5,13,7,-1,"N","TX"
2646,"3/9/14",1,"F",1.0006,"548","N",7,22,"E",1,3,20,"P",35150,"N",7,"XR",0,,"N",0,"R",0,5,4,20,-1,"N","NJ"
2668,"12/10/13",0,"E",0.9482,"1,480","N",21,25,"A",0,4,4,"R",23255,"N",23,"ZA",0,2,"N",0,"J",1,9,9,25,-1,"N","IL"
2688,"11/4/14",0,"B",0.9153,"935","N",4,22,"D",0,5,20,"Q",2296,"N",8,"ZA",0,2,"N",0,"D",0,18,1,15,-1,"N","CA"
2729,"13/4/15",0,"B",0.9153,"935","N",8,22,"D",1,5,11,"Q",53755,"N",-1,"ZA",0,2,"N",0,"O",1,19,2,13,-1,"N","CA"
2737,"3/3/13",0,"J",0.9769,"1,165","N",19,22,"G",1,5,23,"M",6221,"N",17,"ZA",0,2,"Y",0,"J",0,15,24,15,-1,"N","TX"
2767,"25/3/14",0,"B",0.9153,"935","N",20,22,"D",0,5,20,"P",49003,"N",6,"ZA",0,2,"N",0,"O",1,24,2,4,-1,"N","CA"
2792,"9/10/13",0,"E",0.9482,"1,480","N",4,22,"K",1,5,4,"T",48385,"N",5,"ZA",0,2,"N",0,"R",0,2,11,25,-1,"N","IL"
2873,"7/5/15",1,"B",0.9153,"935","N",11,22,"E",1,3,20,"P",7337,"N",6,"ZA",0,2,"Y",0,"O",1,19,2,4,-1,"N","CA"
2897,"31/7/14",0,"B",0.9153,"935","N",7,25,"D",1,5,11,"Q",31175,"N",5,"ZA",0,2,"N",0,"O",1,20,2,11,-1,"N","CA"
2905,"30/1/14",1,"F",0.9838,"548","N",7,25,"E",1,5,20,"K",17954,"N",8,"YE",0,2,"N",0,"K",1,17,4,22,-1,"N","NJ"
2920,"10/4/15",0,"B",0.9153,"935","N",5,22,"E",1,2,20,"V",15255,"N",6,"ZA",0,2,"N",0,"O",1,17,2,9,-1,"N","CA"
2940,"20/6/14",0,"F",1.0006,"548","N",2,22,"E",0,3,20,"V",36905,"N",16,"YF",0,,"N",0,"R",1,4,4,18,-1,"N","NJ"
2976,"20/1/13",1,"F",0.9223,"564","N",4,22,"J",1,3,14,"M",6166,"N",4,"ZH",0,,"N",0,"R",1,6,4,17,-1,"N","NJ"
2983,"29/5/13",0,"B",0.9403,"965","N",25,22,"D",1,5,17,"T",66872,"N",5,"ZA",0,2,"N",0,"O",1,25,1,9,-1,"N","CA"
3007,"6/3/14",1,"F",0.9566,"548","N",6,25,"E",1,4,11,"T",18863,"N",6,"XD",0,,"Y",0,"R",1,8,4,17,-1,"N","NJ"
3011,"25/2/14",1,"B",0.9403,"935","N",13,22,"E",1,3,20,"V",42945,"N",7,"ZA",0,2,"Y",0,"D",1,23,2,13,-1,"N","CA"
3026,"2/6/14",0,"F",1.0006,"548","N",10,22,"F",1,5,11,"K",20718,"N",12,"ZN",0,,"N",0,"R",1,9,4,19,-1,"N","NJ"
3053,"3/7/14",0,"J",0.8928,"1,113","N",8,22,"G",1,5,11,"Q",5258,"N",-1,"ZA",0,2,"N",0,"S",0,7,24,12,-1,"N","TX"
3144,"7/2/14",0,"J",0.8922,"1,113","N",13,22,"G",1,5,20,"V",6204,"N",-1,"ZA",0,2,"N",0,"J",0,17,24,15,-1,"N","TX"
3158,"14/2/14",0,"B",0.9403,"935","N",20,22,"E",1,3,20,"K",65177,"N",-1,"ZA",0,2,"Y",0,"O",1,17,2,12,-1,"N","CA"
3164,"5/1/14",0,"F",0.9838,"548","N",7,22,"J",1,3,20,"M",58742,"N",4,"ZT",0,,"N",0,"R",1,14,4,21,-1,"N","NJ"
3219,"23/3/15",0,"F",1.0101,"548","N",6,22,"E",1,5,20,"K",44193,"N",22,"XR",0,,"N",0,"H",1,18,4,19,-1,"N","NJ"
3224,"27/7/13",0,"B",0.9403,"965","N",6,22,"D",0,5,4,"R",21246,"N",6,"ZA",0,2,"N",0,"O",0,12,2,4,-1,"N","CA"
3283,"18/9/14",0,"J",0.8928,"1,113","N",1,22,"K",1,5,11,"Q",59275,"N",-1,"ZK",0,,"N",0,"R",1,2,20,4,-1,"N","TX"
3334,"6/8/13",0,"B",0.9403,"965","N",13,22,"E",1,3,21,"P",30673,"N",24,"ZA",0,2,"N",0,"O",0,25,1,15,-1,"N","CA"
3335,"21/7/14",0,"J",0.8928,"1,113","N",5,22,"F",1,4,22,"K",61254,"N",5,"XD",0,,"N",0,"J",1,2,24,13,-1,"N","TX"
3368,"4/4/13",1,"F",0.9313,"564","N",11,25,"E",1,3,15,"T",32668,"N",6,"XE",0,,"Y",0,"R",0,24,4,22,-1,"N","NJ"
3507,"19/6/13",0,"F",0.9919,"564","N",10,22,"B",1,5,1,"T",51391,"N",20,"ZH",0,,"N",0,"R",0,15,4,19,-1,"N","NJ"
3510,"19/3/15",0,"B",0.9153,"935","N",9,22,"D",0,5,11,"Q",46487,"N",-1,"ZA",0,2,"N",0,"O",0,21,2,11,-1,"N","CA"
3514,"27/6/13",0,"F",0.9919,"564","N",6,22,"J",1,3,17,"Q",10542,"N",-1,"XM",0,,"N",0,"R",1,17,4,22,-1,"N","NJ"
3523,"17/6/13",0,"B",0.9403,"965","N",4,2,"E",0,2,17,"Q",34823,"N",5,"ZA",0,2,"Y",0,"O",1,6,2,10,-1,"N","CA"
3561,"2/3/14",0,"J",0.8922,"1,113","N",2,22,"F",1,5,20,"M",33046,"N",5,"ZA",0,2,"N",0,"D",0,2,23,15,-1,"N","TX"
3575,"27/7/13",0,"F",0.9919,"564","N",6,22,"E",0,5,4,"R",28641,"N",-1,"XW",0,,"N",0,"J",1,14,4,20,-1,"N","NJ"
3604,"18/10/13",1,"B",0.9403,"965","N",16,22,"E",1,3,20,"V",3972,"N",9,"ZA",0,2,"N",0,"A",1,20,2,11,-1,"N","CA"
3615,"9/7/13",1,"B",0.9403,"965","N",12,22,"E",1,3,17,"V",64871,"N",7,"ZA",0,2,"N",0,"O",1,17,2,4,-1,"N","CA"
3649,"29/10/13",0,"B",0.9403,"965","N",11,22,"D",0,5,7,"K",4266,"N",22,"ZA",0,2,"N",0,"O",1,22,1,15,-1,"N","CA"
3722,"21/4/15",0,"F",1.0101,"548","N",5,25,"G",1,2,3,"P",61455,"N",24,"XM",0,,"N",0,"N",1,10,4,17,-1,"N","NJ"
3723,"10/11/13",0,"J",0.9258,"1,165","N",7,22,"G",1,5,7,"M",19697,"N",20,"ZA",0,2,"N",0,"S",0,2,12,8,-1,"N","TX"
3741,"15/4/13",1,"F",0.9313,"564","N",7,22,"E",1,3,15,"K",43222,"N",6,"YE",0,,"N",0,"R",0,9,4,17,-1,"N","NJ"
3742,"7/1/14",0,"B",0.9403,"935","N",7,22,"D",0,5,24,"K",44890,"N",7,"ZA",0,2,"Y",0,"O",1,6,2,10,-1,"N","CA"
3857,"30/4/13",0,"B",0.9403,"965","N",5,22,"D",1,5,1,"P",44638,"N",-1,"ZA",0,2,"N",0,"O",1,19,2,7,-1,"N","CA"
3863,"5/5/13",0,"F",0.9313,"564","N",8,22,"J",1,3,15,"T",65579,"N",-1,"XM",0,,"N",0,"R",0,16,4,20,-1,"N","NJ"
3881,"19/6/14",0,"F",1.0006,"548","N",7,25,"E",1,2,20,"Q",33622,"N",12,"ZH",0,,"N",0,"R",1,10,4,16,-1,"N","NJ"
3912,"12/12/14",0,"B",0.9153,"935","N",9,22,"D",1,5,11,"V",53483,"N",13,"ZA",0,2,"N",0,"O",1,8,2,10,-1,"N","CA"
3987,"13/1/14",0,"J",0.8922,"1,113","N",21,22,"G",0,5,20,"K",55165,"N",13,"ZA",0,2,"N",0,"J",0,10,24,10,-1,"N","TX"
3997,"23/8/13",0,"B",0.9403,"965","N",10,22,"E",1,3,21,"V",49194,"N",5,"ZA",0,2,"N",0,"O",1,24,2,15,-1,"N","CA"
4051,"15/5/13",0,"J",0.9691,"1,165","N",8,22,"G",1,2,3,"T",6976,"N",8,"XD",0,,"N",0,"J",1,6,14,4,-1,"N","TX"
4096,"13/7/13",0,"B",0.9403,"965","N",10,22,"D",1,5,1,"R",4786,"N",-1,"ZA",0,2,"N",0,"O",0,8,2,4,-1,"N","CA"
4108,"29/10/13",0,"E",0.9482,"1,480","N",3,22,"K",1,5,7,"P",18379,"N",5,"ZA",0,2,"N",0,"S",0,2,11,25,-1,"N","IL"
4141,"10/1/14",0,"E",0.9472,"1,487","N",3,22,"K",1,5,7,"M",20190,"N",4,"ZA",0,2,"N",0,"R",0,3,9,25,-1,"N","IL"
4149,"16/1/15",0,"C",0.9108,"1,487","Y",2,2,"K",1,2,20,"V",19253,"N",16,"ZT",0,,"N",0,"J",0,2,9,25,-1,"N","IL"
4197,"3/1/13",0,"F",0.9223,"564","N",11,22,"J",1,5,23,"Q",13951,"N",5,"XJ",0,,"N",0,"R",1,18,4,20,-1,"N","NJ"
4198,"31/12/14",0,"F",1.0005,"548","N",4,22,"E",1,5,11,"T",56824,"N",24,"XJ",0,,"N",0,"R",1,4,4,18,-1,"N","NJ"
4215,"29/10/14",0,"F",1.0006,"548","N",5,22,"E",1,3,20,"T",58658,"N",15,"XD",0,,"Y",0,"R",1,25,4,18,-1,"N","NJ"
4235,"26/3/13",0,"J",0.9769,"1,165","N",6,22,"F",1,5,23,"V",55966,"N",7,"ZA",0,2,"N",0,"S",0,1,24,13,-1,"N","TX"
4248,"8/4/14",0,"J",0.8922,"1,113","N",25,25,"A",1,3,8,"P",12049,"N",6,"ZH",0,,"Y",0,"J",1,16,14,8,-1,"N","TX"
4288,"2/5/15",0,"C",0.8746,"1,487","Y",12,22,"F",1,5,11,"R",41247,"N",18,"ZT",0,,"N",0,"S",1,12,9,25,-1,"N","IL"
4339,"7/1/15",0,"J",0.887,"1,113","N",25,22,"G",1,4,11,"P",457,"N",3,"XM",0,,"N",0,"O",1,21,13,8,-1,"N","TX"
4346,"5/2/14",0,"F",0.9685,"548","N",6,22,"J",0,3,20,"T",7997,"N",11,"ZH",0,,"N",0,"D",0,16,4,22,-1,"N","NJ"
4363,"7/4/15",1,"F",1.0101,"548","N",6,22,"C",1,3,20,"P",64462,"N",4,"ZN",0,,"N",0,"R",1,14,4,21,-1,"N","NJ"
4368,"2/9/14",0,"J",0.8928,"1,113","N",4,2,"K",1,5,11,"V",25704,"N",1,"XS",0,,"N",0,"Q",1,3,14,4,-1,"N","TX"
4393,"5/9/13",0,"J",0.9497,"1,165","N",2,2,"F",0,5,4,"Q",20878,"N",6,"XB",0,,"N",0,"I",0,1,13,6,-1,"N","TX"
4401,"20/6/14",0,"J",0.8928,"1,113","N",13,22,"G",1,5,11,"V",32309,"N",13,"ZA",0,2,"N",0,"S",0,6,25,16,-1,"N","TX"
4414,"17/8/14",0,"B",0.9153,"935","N",8,22,"D",0,5,11,"M",59661,"N",7,"ZA",0,2,"N",0,"I",1,24,2,11,-1,"N","CA"
4441,"9/10/14",0,"J",0.8793,"1,113","N",5,2,"F",1,4,22,"Q",40598,"N",7,"ZH",0,,"N",0,"J",1,4,24,12,-1,"N","TX"
4445,"19/3/13",1,"B",0.9403,"965","N",2,22,"E",1,3,14,"P",42223,"N",3,"ZA",0,2,"N",0,"O",1,4,2,4,-1,"N","CA"
4503,"7/8/14",0,"B",0.9153,"935","N",6,22,"D",0,5,11,"V",53646,"N",-1,"ZA",0,2,"N",0,"O",0,22,2,9,-1,"N","CA"
4512,"6/11/14",0,"J",0.887,"1,113","N",10,22,"A",1,3,20,"Q",42509,"N",14,"XX",0,,"N",0,"O",1,12,3,5,-1,"Y","TX"
4542,"25/6/13",0,"E",0.9485,"1,480","N",5,22,"K",1,2,17,"P",32622,"N",8,"XH",0,,"N",0,"Q",0,9,9,25,-1,"N","IL"
4597,"21/6/13",1,"B",0.9403,"965","N",11,22,"K",1,4,1,"V",7485,"N",7,"ZA",0,2,"N",0,"O",0,5,2,11,-1,"N","CA"
4647,"13/10/14",1,"B",0.9153,"935","N",9,25,"E",1,3,20,"Q",60110,"N",6,"ZA",0,2,"N",0,"O",1,9,2,9,-1,"N","CA"
4704,"23/10/14",0,"F",1.0006,"548","N",6,22,"E",1,5,11,"Q",46561,"N",-1,"ZC",0,,"N",0,"R",1,14,4,18,-1,"N","NJ"
4709,"16/1/14",0,"J",0.8922,"1,113","N",9,22,"G",0,5,20,"Q",20717,"N",5,"XJ",0,,"N",0,"J",1,7,24,15,-1,"N","TX"
